userid,condition,rating
0,1,4
0,1,5
0,2,1
0,3,3
0,3,5
0,4,2
0,4,2
0,4,2
0,4,2
0,5,4
0,5,3
0,6,4
0,6,4
0,6,5
0,6,5
0,6,5
0,6,5
0,6,5
0,6,5
0,6,5
0,6,4
0,7,4
0,7,4
0,7,3
0,7,4
0,7,4
0,8,4
0,8,5
0,8,4
0,8,3
0,8,5
0,8,5
0,9,5
0,9,3
0,9,4
0,10,4
0,10,4
0,10,5
0,10,5
0,11,4
0,11,4
0,11,5
0,11,5
0,11,4
0,12,2
0,12,1
0,13,3
0,13,5
0,13,4
0,13,5
0,13,4
0,13,4
0,14,2
0,15,4
0,15,3
0,15,5
0,15,2
0,15,4
0,16,3
0,16,3
0,17,5
0,17,4
0,18,3
0,19,4
0,19,5
0,19,4
0,20,3
0,20,3
0,20,3
0,21,3
0,21,3
0,21,3
0,21,3
0,21,3
0,21,3
0,22,2
0,22,3
0,22,4
0,22,3
0,22,2
0,23,4
0,23,2
0,24,1
0,24,1
0,25,4
0,26,1
0,26,1
0,26,1
0,27,2
0,27,4
0,27,4
0,27,3
0,27,2
0,28,1
0,28,1
0,28,1
0,29,3
0,29,2
0,30,1
0,30,2
0,31,3
0,32,3
0,32,3
0,32,3
0,32,3
0,33,4
0,33,3
0,34,4
0,34,5
0,34,4
0,34,4
0,35,3
0,35,4
0,35,3
0,35,3
0,36,4
0,36,3
0,36,4
0,36,4
0,36,4
0,36,4
0,37,4
0,37,4
0,37,4
0,38,1
0,38,1
0,38,2
0,38,2
0,38,3
0,38,1
0,38,1
0,39,3
0,39,3
0,39,3
0,39,4
0,39,3
0,40,4
0,40,3
0,41,1
0,41,2
0,41,2
0,41,3
0,42,3
0,42,4
0,42,3
0,42,4
0,42,3
0,43,5
0,43,5
0,43,5
0,43,5
0,44,5
0,44,4
0,44,5
0,45,3
0,45,4
0,45,5
0,45,4
0,45,5
0,45,4
0,46,5
0,46,3
0,47,5
0,47,5
0,47,4
0,47,5
0,48,4
0,48,4
0,48,3
0,48,4
1,1,5
1,1,5
1,2,2
1,3,4
1,3,5
1,3,5
1,4,4
1,4,4
1,4,2
1,5,4
1,5,5
1,6,4
1,7,2
1,8,4
1,8,3
1,9,3
1,9,3
1,10,4
1,10,4
1,10,5
1,10,4
1,10,4
1,11,5
1,11,5
1,12,1
1,12,1
1,13,4
1,15,5
1,15,4
1,16,4
1,16,4
1,17,3
1,17,4
1,18,2
1,18,5
1,19,5
1,20,3
1,20,2
1,20,4
1,20,1
1,21,3
1,21,4
1,22,3
1,22,4
1,22,4
1,22,3
1,22,3
1,23,3
1,23,4
1,23,5
1,24,2
1,25,4
1,25,5
1,26,1
1,26,1
1,28,3
1,28,3
1,28,3
1,29,3
1,29,3
1,29,4
1,30,2
1,32,4
1,32,2
1,33,3
1,33,4
1,33,3
1,34,4
1,35,3
1,36,3
1,37,3
1,37,4
1,38,2
1,38,3
1,38,2
1,40,3
1,40,4
1,40,4
1,42,3
1,43,5
1,43,5
1,43,5
1,44,5
1,45,5
1,46,3
1,46,5
1,46,4
1,47,5
1,47,4
1,48,3
2,6,4
2,9,3
2,10,4
2,10,5
2,16,4
2,16,5
2,17,5
2,21,3
2,21,3
2,22,3
2,22,2
2,25,4
2,27,1
2,27,4
2,32,3
2,41,2
2,41,1
2,42,2
2,44,5
2,45,4
3,1,5
3,2,1
3,2,1
3,3,5
3,3,5
3,4,4
3,4,3
3,4,3
3,5,4
3,5,4
3,6,5
3,7,3
3,8,3
3,9,2
3,9,4
3,10,5
3,11,4
3,11,5
3,12,3
3,12,2
3,13,5
3,13,5
3,14,4
3,14,3
3,14,3
3,15,5
3,15,4
3,15,3
3,16,3
3,16,5
3,17,5
3,18,3
3,18,3
3,18,5
3,18,4
3,19,5
3,19,5
3,20,2
3,21,3
3,21,3
3,21,3
3,21,4
3,22,3
3,26,1
3,27,3
3,27,3
3,28,2
3,28,3
3,29,2
3,29,4
3,29,4
3,30,1
3,30,1
3,30,2
3,32,2
3,32,3
3,32,3
3,33,4
3,33,4
3,34,3
3,35,4
3,35,3
3,35,2
3,36,3
3,36,2
3,36,3
3,37,4
3,38,1
3,38,2
3,38,1
3,38,1
3,40,3
3,40,3
3,40,3
3,40,4
3,40,3
3,41,1
3,41,1
3,42,2
3,42,2
3,43,5
3,44,5
3,45,4
3,46,3
3,46,5
3,47,4
3,47,5
3,47,5
3,47,5
3,48,3
4,1,5
4,1,5
4,1,5
4,2,1
4,2,2
4,3,5
4,3,4
4,4,3
4,5,4
4,5,4
4,5,4
4,6,4
4,6,5
4,6,4
4,7,5
4,9,4
4,9,3
4,10,4
4,11,4
4,11,4
4,11,4
4,11,4
4,11,3
4,11,4
4,12,1
4,12,3
4,12,3
4,12,2
4,12,2
4,13,5
4,15,4
4,15,4
4,15,5
4,16,4
4,16,4
4,16,4
4,17,4
4,18,3
4,18,4
4,19,5
4,19,5
4,20,3
4,20,3
4,20,3
4,20,4
4,20,3
4,21,5
4,22,3
4,22,4
4,23,4
4,24,1
4,24,1
4,24,1
4,25,5
4,25,5
4,25,5
4,26,2
4,26,2
4,27,3
4,27,4
4,28,2
4,28,2
4,29,3
4,30,2
4,31,4
4,31,4
4,33,4
4,33,4
4,33,4
4,35,3
4,35,4
4,35,3
4,36,1
4,36,3
4,36,3
4,36,2
4,38,1
4,38,2
4,38,3
4,39,3
4,39,3
4,39,4
4,40,4
4,40,4
4,41,2
4,41,1
4,41,3
4,43,5
4,44,5
4,44,5
4,45,2
4,45,4
4,45,5
4,45,4
4,45,5
4,46,5
4,47,4
4,48,4
4,48,3
4,48,4
5,2,1
5,3,5
5,4,3
5,4,2
5,5,5
5,6,4
5,6,4
5,7,3
5,7,3
5,7,3
5,8,4
5,8,4
5,8,4
5,11,3
5,11,4
5,11,4
5,12,2
5,13,5
5,13,5
5,13,5
5,14,3
5,14,2
5,15,4
5,15,3
5,15,4
5,16,3
5,17,5
5,17,4
5,19,5
5,19,5
5,19,4
5,21,2
5,21,2
5,21,4
5,22,3
5,22,3
5,24,2
5,26,2
5,27,3
5,28,2
5,29,1
5,30,3
5,30,3
5,31,3
5,32,3
5,34,1
5,35,3
5,35,3
5,36,4
5,37,4
5,39,3
5,40,2
5,41,3
5,42,3
5,43,4
5,44,5
5,45,3
5,46,4
5,47,5
5,47,5
6,4,3
6,6,4
6,6,4
6,8,3
6,9,3
6,11,5
6,15,4
6,19,5
6,20,4
6,20,3
6,22,5
6,22,4
6,24,1
6,26,2
6,26,2
6,33,4
6,36,2
6,36,4
6,39,3
6,39,2
7,1,5
7,1,5
7,1,5
7,1,5
7,1,5
7,1,5
7,2,1
7,2,1
7,2,1
7,2,1
7,3,4
7,3,5
7,3,5
7,3,4
7,4,2
7,4,3
7,4,2
7,4,2
7,4,2
7,4,2
7,5,3
7,5,3
7,5,3
7,5,3
7,5,2
7,5,3
7,6,4
7,6,5
7,6,5
7,7,4
7,8,3
7,8,4
7,8,4
7,8,4
7,8,4
7,8,4
7,8,4
7,9,3
7,9,3
7,9,3
7,9,3
7,9,3
7,9,3
7,10,5
7,10,5
7,10,5
7,10,5
7,11,4
7,11,4
7,11,4
7,11,4
7,12,1
7,12,1
7,12,1
7,13,5
7,13,5
7,13,5
7,13,5
7,13,5
7,13,5
7,13,4
7,13,5
7,13,4
7,14,3
7,14,2
7,14,3
7,14,3
7,15,4
7,15,4
7,15,4
7,16,5
7,16,5
7,16,4
7,17,4
7,17,5
7,17,5
7,17,5
7,17,5
7,18,2
7,18,4
7,18,4
7,19,5
7,19,5
7,19,5
7,19,5
7,20,2
7,20,3
7,20,2
7,20,3
7,21,4
7,21,5
7,21,3
7,21,2
7,21,4
7,21,4
7,21,3
7,22,3
7,22,2
7,22,2
7,22,2
7,22,2
7,22,2
7,22,3
7,23,4
7,23,5
7,23,4
7,24,1
7,24,1
7,24,1
7,24,1
7,25,5
7,25,4
7,25,5
7,25,5
7,25,5
7,26,1
7,26,1
7,26,1
7,27,4
7,27,1
7,27,4
7,27,2
7,27,3
7,27,3
7,28,1
7,28,1
7,28,1
7,28,2
7,29,4
7,29,1
7,29,3
7,29,4
7,29,4
7,29,4
7,29,4
7,29,3
7,30,2
7,30,2
7,30,2
7,30,1
7,30,3
7,31,3
7,31,3
7,31,3
7,31,3
7,31,3
7,32,2
7,32,3
7,32,3
7,33,4
7,33,4
7,33,3
7,33,3
7,33,1
7,33,4
7,34,3
7,34,4
7,34,4
7,34,3
7,35,3
7,35,3
7,35,3
7,35,3
7,35,4
7,35,3
7,36,2
7,37,4
7,37,3
7,37,4
7,37,4
7,37,4
7,37,4
7,38,3
7,38,2
7,39,2
7,39,3
7,39,2
7,39,3
7,40,4
7,40,3
7,40,3
7,41,1
7,41,3
7,41,2
7,41,3
7,42,2
7,42,2
7,42,2
7,42,1
7,42,3
7,42,2
7,43,3
7,43,4
7,43,4
7,43,4
7,43,5
7,43,5
7,43,4
7,44,5
7,44,5
7,44,4
7,44,5
7,44,5
7,44,5
7,44,5
7,45,4
7,45,4
7,45,4
7,45,3
7,46,4
7,46,2
7,46,3
7,46,4
7,46,3
7,46,5
7,47,5
7,48,4
7,48,4
7,48,4
7,48,4
8,1,5
8,3,5
8,4,4
8,4,4
8,5,4
8,5,4
8,5,4
8,6,5
8,7,4
8,8,4
8,8,4
8,9,2
8,15,4
8,16,3
8,18,4
8,18,3
8,20,3
8,20,4
8,21,3
8,23,4
8,25,5
8,26,2
8,27,1
8,30,1
8,35,3
8,37,3
8,37,3
8,37,3
8,38,2
8,38,2
8,40,3
8,40,3
8,41,3
8,42,2
8,43,5
8,44,5
8,45,4
8,46,4
8,47,4
8,48,2
9,1,5
9,13,3
9,16,2
9,18,5
9,23,3
9,33,3
9,33,2
9,38,2
9,42,1
9,45,4
10,5,4
10,10,4
10,17,4
10,18,3
10,23,5
10,24,3
10,25,4
10,26,3
10,28,4
10,34,4
11,1,5
11,1,5
11,1,4
11,1,5
11,1,5
11,2,2
11,2,1
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,2,2
11,3,4
11,3,5
11,3,5
11,3,5
11,3,5
11,3,5
11,3,4
11,4,2
11,4,1
11,4,2
11,4,2
11,4,1
11,4,2
11,4,2
11,4,2
11,4,2
11,4,2
11,4,2
11,5,4
11,5,2
11,5,3
11,5,4
11,5,3
11,5,3
11,5,3
11,5,3
11,6,5
11,6,5
11,6,5
11,6,5
11,6,4
11,6,4
11,6,5
11,6,4
11,6,5
11,6,4
11,7,3
11,7,3
11,7,3
11,7,3
11,7,4
11,7,4
11,7,3
11,7,4
11,7,3
11,8,4
11,8,4
11,8,4
11,8,4
11,8,4
11,8,5
11,8,4
11,9,3
11,9,2
11,9,3
11,9,3
11,9,3
11,9,3
11,9,1
11,10,4
11,10,4
11,10,5
11,10,5
11,10,5
11,10,5
11,10,5
11,10,5
11,10,5
11,10,5
11,10,4
11,11,4
11,11,3
11,11,5
11,11,5
11,11,5
11,12,3
11,12,3
11,12,3
11,12,2
11,12,2
11,12,2
11,12,3
11,12,3
11,12,2
11,13,5
11,13,5
11,13,5
11,13,5
11,13,5
11,13,5
11,13,5
11,14,3
11,14,3
11,14,3
11,14,3
11,14,2
11,14,3
11,14,2
