condition,MOS,SOS,total number ratings,#ratings 1,#ratings 2,#ratings 3,#ratings 4,#ratings 5
1,4.84,0.43,214,0,1,2,28,183
2,1.54,0.58,218,110,98,10,0,0
3,4.35,0.8,216,0,5,30,65,116
4,2.78,0.91,217,13,77,74,50,3
5,3.54,0.73,216,0,18,77,108,13
6,4.62,0.55,215,0,0,7,67,141
7,3.67,1.04,212,8,18,59,79,48
8,3.93,0.72,212,0,1,60,103,48
9,3.12,0.86,213,5,41,102,54,11
10,4.52,0.64,219,0,0,18,69,132
11,4.25,0.78,223,0,6,29,92,96
12,1.5,0.71,212,128,64,18,1,1
13,4.46,0.63,211,0,1,12,86,112
14,2.78,0.91,222,19,62,92,47,2
15,3.54,1.07,220,9,29,59,80,43
16,3.68,0.79,219,2,11,70,108,28
17,4.23,0.95,209,8,3,19,82,97
18,3.08,1.03,218,14,48,80,59,17
19,4.51,0.62,210,0,0,14,75,121
20,2.79,0.86,225,16,61,106,39,3
21,3.03,0.83,218,2,58,99,50,9
22,2.87,0.82,212,7,62,99,40,4
23,3.73,1.0,213,8,15,50,93,47
24,1.5,0.69,221,134,66,19,2,0
25,4.3,0.87,207,2,5,29,64,107
26,1.51,0.64,216,122,79,14,1,0
27,2.73,0.98,208,25,54,87,36,6
28,2.33,0.82,222,33,100,72,17,0
29,2.95,0.94,217,13,54,89,52,9
30,1.95,0.74,221,60,117,38,6,0
31,3.13,0.89,218,9,36,103,58,12
32,2.81,0.86,216,15,54,107,36,4
33,3.36,1.0,221,12,27,74,85,23
34,3.32,0.85,216,6,24,94,79,13
35,2.71,0.84,214,15,68,95,35,1
36,2.44,1.01,219,44,71,70,31,3
37,3.31,0.83,220,3,28,102,72,15
38,2.08,0.9,219,68,78,62,10,1
39,3.07,0.69,216,0,42,118,54,2
40,3.29,0.75,222,2,26,106,81,7
41,2.15,0.91,211,59,77,61,13,1
42,2.52,0.8,211,20,83,88,19,1
43,4.53,0.66,222,0,1,18,65,138
44,4.68,0.57,219,0,1,8,52,158
45,3.86,0.96,221,4,14,53,88,62
46,3.74,1.0,221,6,18,58,85,54
47,4.59,0.62,227,0,1,13,65,148
48,3.67,0.83,223,1,16,73,99,34
