condition,MOS,SOS,total number ratings,#ratings 1,#ratings 2,#ratings 3,#ratings 4,#ratings 5
1,4.71,0.58,125,0,1,5,23,96
2,4.38,0.73,110,0,1,13,39,57
3,3.57,0.92,86,2,7,30,34,13
4,4.61,0.53,85,0,0,2,29,54
5,3.66,0.87,95,0,7,36,34,18
6,4.59,0.64,109,0,1,6,30,72
7,4.5,0.74,123,0,2,12,32,77
8,4.75,0.53,89,0,0,4,14,71
9,4.31,0.85,105,1,4,9,38,53
10,4.6,0.62,94,0,1,4,27,62
11,3.58,0.75,90,0,6,34,42,8
12,3.45,0.88,109,1,15,38,44,11
13,3.39,0.83,99,0,14,40,37,8
14,3.48,0.88,105,0,14,41,36,14
15,3.23,0.88,95,1,18,41,28,7
16,4.39,0.66,101,0,1,7,45,48
17,3.72,0.89,98,0,8,32,37,21
18,3.27,0.97,95,3,16,38,28,10
19,4.51,0.58,87,0,0,4,35,48
20,4.63,0.6,90,0,1,3,24,62
21,4.21,0.7,98,0,1,13,48,36
22,1.41,0.69,118,78,36,2,0,2
23,2.43,0.98,92,14,38,31,4,5
24,4.06,0.94,95,0,7,18,32,38
25,4.69,0.56,95,0,0,5,19,71
26,1.49,0.56,93,50,40,3,0,0
27,2.41,0.87,104,13,48,31,11,1
28,3.95,0.92,91,0,8,17,38,28
29,4.63,0.56,99,0,0,4,29,66
30,4.21,0.69,84,0,1,10,43,30
31,3.9,0.8,105,0,4,27,49,25
32,4.54,0.69,98,0,1,8,26,63
33,3.2,0.99,91,4,16,38,24,9
34,3.94,0.87,99,1,4,23,43,28
35,4.58,0.63,101,0,1,5,29,66
36,3.21,0.93,91,0,22,38,21,10
37,3.56,0.83,99,0,7,45,32,15
38,3.6,0.88,89,1,8,30,37,13
39,3.03,0.95,88,3,23,36,20,6
40,3.79,0.83,95,1,4,27,45,18
41,4.16,0.77,87,0,0,20,33,34
42,3.05,0.87,86,2,20,41,18,5
43,3.69,0.95,103,0,13,28,40,22
44,3.86,0.98,123,1,10,33,40,39
45,2.91,0.83,93,3,24,47,16,3
46,3.52,0.83,103,0,11,39,41,12
47,3.95,0.86,108,2,3,22,52,29
48,3.05,0.95,93,3,25,35,24,6
49,3.29,0.9,102,2,17,40,35,8
50,3.97,0.8,90,0,3,21,42,24
51,2.61,0.95,105,13,35,39,16,2
52,3.3,0.84,104,0,19,42,36,7
53,3.99,0.87,99,0,5,23,39,32
54,2.93,0.85,83,4,18,44,14,3
55,3.14,0.89,92,2,20,38,27,5
56,3.51,0.97,91,2,10,34,30,15
57,2.71,0.99,95,7,38,32,12,6
58,3.01,0.89,95,3,23,44,20,5
59,3.57,0.94,96,2,10,30,39,15
60,2.85,0.94,91,7,23,42,15,4
61,3.0,0.97,101,6,23,44,21,7
62,2.35,1.1,108,29,33,28,15,3
63,2.51,0.95,97,14,37,30,15,1
64,2.64,0.9,89,7,34,35,10,3
65,1.92,1.02,92,39,31,15,4,3
66,2.03,0.94,100,30,46,19,1,4
67,2.62,0.85,89,6,35,38,7,3
68,1.66,0.81,92,49,27,14,2,0
69,2.02,1.05,84,31,32,11,8,2
70,2.52,0.89,96,9,43,31,11,2
71,1.73,0.83,95,47,29,17,2,0
72,1.92,0.88,93,36,32,21,4,0
